Category,Term,Count,%,P-Value,Benjamini
GOTERM_BP_DIRECT,"positive regulation of transcription, DNA-templated",7,21.2,1.10E-03,4.30E-01
GOTERM_BP_DIRECT,wound healing,3,9.1,1.30E-02,1.00E+00
GOTERM_BP_DIRECT,regulation of developmental process,2,6.1,1.50E-02,1.00E+00
GOTERM_BP_DIRECT,regulation of cardiac muscle cell contraction,2,6.1,2.30E-02,1.00E+00
GOTERM_BP_DIRECT,"mRNA splicing, via spliceosome",3,9.1,4.40E-02,1.00E+00
GOTERM_BP_DIRECT,regulation of neuron differentiation,2,6.1,4.90E-02,1.00E+00
GOTERM_BP_DIRECT,"negative regulation of transcription, DNA-templated",4,12.1,7.30E-02,1.00E+00
GOTERM_BP_DIRECT,"regulation of transcription, DNA-templated",5,15.2,7.60E-02,1.00E+00
GOTERM_BP_DIRECT,response to drug,3,9.1,8.40E-02,1.00E+00
GOTERM_BP_DIRECT,inner ear morphogenesis,2,6.1,8.90E-02,1.00E+00
