"","genes"
"1","ERI2"
"2","LOC81691"
"3",NA
"4","ABI3BP"
"5","AP4S1"
"6","STRN3"
"7","FRMD4B"
"8","TIMP2"
"9","CNOT6L"
"10","PCSK7"
"11","MIR200B"
"12","MIR200A"
"13","TICAM1"
"14","NELL2"
"15","ATP5S"
"16","L2HGDH"
"17","NT5DC3"
"18","MRGPRF"
"19","RNF111"
"20","KCNJ1"
"21","NUMBL"
"22","SIX4"
"23","MBD6"
"24","CORO7"
"25","TMC5"
"26","KIAA1530"
"27","TRIM39"
"28","MAD1L1"
"29","WDR88"
"30","ADARB2"
"31","DNAH17"
"32","CDC25B"
"33","NRXN3"
"34","ENSA"
"35","KDM6B"
"36","TMEM88"
"37","PSMF1"
"38","EMX2OS"
"39","EMX2"
"40","IGF1R"
"41","PNPLA7"
"42","C2orf15"
"43","TSGA10"
"44","MAGEF1"
"45","PRG2"
"46","RING1"
"47","POLH"
"48","KRTAP3-1"
"49","MTCH2"
"50","PSMD2"
"51","ZNF275"
"52","FLJ45079"
"53","NAGK"
"54","KLF7"
"55","SLITRK2"
"56","FKBP4"
"57","OPCML"
"58","MYH10"
"59","CLPTM1"
"60","SLC23A1"
"61","ADCY8"
"62","KCNAB1"
"63","BCAN"
"64","ZNF114"
"65","PRDM16"
"66","OTX1"
"67","VGLL4"
"68","COL2A1"
"69","ATAD3C"
"70","HPCA"
"71","EPN2"
"72","MIR1185-1"
"73","TAP2"
"74","STRADA"
"75","EPB49"
"76","CD247"
"77","CDCA7"
"78","LRP1"
"79","ZBTB38"
"80","FAM38B"
"81","PP14571"
"82","GPC1"
"83","NR2E1"
"84","FAM38A"
"85","FAM176B"
"86","NARF"
"87","PTCD2"
"88","MRPS27"
"89","ATP11A"
"90","CD8A"
"91","FGFR2"
"92","PRPF6"
"93","TNIK"
"94","TECTA"
"95","WDR35"
"96","PRIC285"
"97","GAL3ST3"
"98","CAMTA1"
"99","IGFBP4"
"100","DLGAP2"
"101","CDH23"
"102","MMP17"
"103","SEPT6"
"104","ATP2C1"
"105","TMEM198"
"106","CHPF"
"107","RASA3"
"108","CASZ1"
"109","SELPLG"
"110","RTF1"
"111","ENC1"
"112","FAM83A"
"113","HCG9"
"114","GPAM"
"115","ATL3"
"116","ADAP1"
"117","SLC24A4"
"118","C10orf107"
"119","CHCHD5"
"120","KRT20"
"121","PIK3R2"
"122","NKX2-3"
"123","ANK1"
"124","C19orf10"
"125","CRIP1"
"126","LOC390858"
"127","TRMT61A"
"128","ARHGAP20"
"129","PHF15"
"130","ATG4D"
"131","CUX2"
"132","HHEX"
"133","MFSD2A"
"134","GGCX"
