combo,conv1,conv2,conv3,conv4,conv5,conv6,conv7
CARKD,CARKD,,,,,,
GATSL3,GATSL3,,,,,,
CROCC,CROCC,,,,,,
MAP3K7,MAP3K7,,,,,,
DHX38,DHX38,,,,,,
TXNL4B,TXNL4B,,,,,,
ATAD1,ATAD1,,,,,,ATAD1
CFLP1,CFLP1,,,,,,CFLP1
WDR27,WDR27,,,,,,
DUSP4,DUSP4,,,,,,
GDNF,GDNF,,,,,,
GPR124,GPR124,,,,,,
IL2RG,IL2RG,,,,,,
HOXC4,HOXC4,,,,,,
CAB39L,CAB39L,,,,,,
IL6,IL6,,,,,,
ATP6V1D,ATP6V1D,,,,,,
ZNF423,ZNF423,,,,,,
ENPP7,ENPP7,,,,,,
KCTD5,KCTD5,,,,,,
PPP1R9A,PPP1R9A,,,,,,
BTBD10,BTBD10,,,,,,
MEAF6,MEAF6,,,,,,
BET1L,BET1L,,,,,,
RIC8A,RIC8A,,,,,,
ZFC3H1,ZFC3H1,,,,,,
THAP2,THAP2,,,,,,
PRKCZ,PRKCZ,,,,,,
PDE4D,PDE4D,,,,,,
TMEM196,TMEM196,,,,,,
RFX8,RFX8,,,,,,
SCARB1,SCARB1,,,,,,
MBOAT7,MBOAT7,,,,,,
TSEN34,TSEN34,,,,,,
ZNF831,ZNF831,,,,,,
MACROD1,MACROD1,,,,,,
CITED2,CITED2,,,,,,
PSMB9,PSMB9,,,,,,
TAP1,TAP1,,,,,,
PPOX,PPOX,,PPOX,,,,
MPST,MPST,,,,,,
ANKRD11,ANKRD11,,ANKRD11,,,,ANKRD11
LOC282997,LOC282997,,,,,,
PDCD4,PDCD4,,,,,,
SCARNA2,SCARNA2,,,,,,
KCNK3,KCNK3,,,,,,
SDCCAG8,SDCCAG8,,,,,,
SETD1A,SETD1A,,,,,,
TTLL10,TTLL10,,,,,,
PAQR9,PAQR9,,,,,,
ABT1,ABT1,,,,,,
CACYBP,CACYBP,,,,,,
FAM92A1,FAM92A1,,,,,,
ZBTB47,ZBTB47,,,,,,
DBX1,DBX1,,,,,,
CORO2B,CORO2B,,,,,,
ATP13A4,ATP13A4,,,,,,
PDGFB,PDGFB,,,,,,
DGCR14,DGCR14,,,,,,
NEK4,NEK4,,,,,,
ZNF226,ZNF226,,,,,,
TBX18,TBX18,,,,,,
RAB6A,RAB6A,,,,,,
HNRNPF,HNRNPF,,,,,,
ZFP42,ZFP42,,,,,,
PACRG,PACRG,,,,,,
C7orf58,C7orf58,,,,,,
FMNL1,FMNL1,,,,,,
ZNF562,ZNF562,,,,,,
FTMT,FTMT,,,,,,
RAD51AP1,RAD51AP1,,,,,,
C12orf4,C12orf4,,,,,,
ABCB7,ABCB7,,,,,,
PRPF38B,PRPF38B,,,,,,
MCM2,MCM2,,,,,,
DNAH10,DNAH10,,,,,,
ICAM2,ICAM2,,,,,,
IMMT,IMMT,,,,,,
CDH4,CDH4,,,,,,
PRRG4,PRRG4,,,,,,
STOX2,STOX2,,,,,,
PAX6,PAX6,,,,,,
TESC,TESC,,,,,,
SIX1,SIX1,,,,,,
WDR16,WDR16,,,,,,
STX8,STX8,,,,,,
AGBL4,AGBL4,,,,,,
ECE1,ECE1,,,,,,
SLC22A1,SLC22A1,,,,,,
PA2G4,PA2G4,,,,,,
RNF13,RNF13,,,,,,
AMICA1,AMICA1,,,,,,
HSPH1,HSPH1,,,,,,
MDP1,MDP1,,,,,,
PRDM16,PRDM16,PRDM16,,,,,
GRIN1,GRIN1,,,,,,
CKAP2,CKAP2,,,,,,
LEPROTL1,LEPROTL1,,,,,,
OGDH,OGDH,,,,,,
SDF4,SDF4,,,,,,
B3GALT6,B3GALT6,,,,,,
ANKRD23,ANKRD23,,,,,,
DDA1,DDA1,,,,,,
C1orf170,C1orf170,,,,,,
MAD1L1,MAD1L1,MAD1L1,,,,,
BAHD1,BAHD1,,,,,,
EDC3,EDC3,,,,,,
FLT1,FLT1,,,,,,
NDUFS2,NDUFS2,,,,,,
BRPF1,BRPF1,,,,,,
GNMT,GNMT,,,,,,
NKX2-2,NKX2-2,,,,,,
LRP8,LRP8,,,,,,
TCHP,TCHP,,,,,,
CASZ1,CASZ1,CASZ1,,,,,
PPAN-P2RY11,PPAN-P2RY11,,,,,,
SNORD105B,SNORD105B,,,,,,
PPAN,PPAN,,,,,,
TIMM8B,TIMM8B,,,,,,
SDHD,SDHD,,,,,,
IGF1R,IGF1R,IGF1R,,,,,
SUMO1,SUMO1,,,,,,
ACY1,ACY1,,,,,,
LOC283663,LOC283663,,,,,,
C6orf25,C6orf25,,,,,,
TMBIM4,TMBIM4,,,,,,
PLXNA3,PLXNA3,,,,,,
