"Condition","CTCF","EGR2","KLF1","KLF9","SP2","SP3","WT1","ZFHX2","ZNF654"
"vivo vs HEK293",0.374320863081552,0.790486175661822,0.459311903434119,0.190865789905843,0.893222741364041,0.998542435678543,0.275828273016629,0.0105625908034038,0.530652508326952
"vivo vs c1_avg",0.0360193243037096,0.790486175661822,0.0233784287926512,0.00606803257101323,2.27607465115012e-06,2.90101028101415e-06,0.323238568267798,0.00283151084523586,0.000668533592984404
"vivo vs c2_avg",0.85373471474787,0.790486175661822,0.732258623098539,0.812296105977411,0.723277678321194,0.998542435678543,0.733262597721777,0.639417272744842,0.637970873413153
"vivo vs c3_avg",0.85373471474787,0.790486175661822,0.798261808442602,0.812296105977411,0.723277678321194,0.998542435678543,0.733262597721777,0.639417272744842,0.818804145864262
"HEK293 vs c1_avg",0.000166773890635681,0.790486175661822,0.459311903434119,0.737330830423967,2.67892267493269e-05,3.67466731230237e-05,0.0174238779874237,0.639417272744842,0.570804353830426
"HEK293 vs c2_avg",0.287990037091444,0.872453998565252,0.720319383036414,0.277929228173696,0.723277678321194,0.998542435678543,0.327702628640078,0.00283151084523586,0.618104163405412
"HEK293 vs c3_avg",0.287990037091444,0.822159454925847,0.586577517847692,0.265194268594917,0.723277678321194,0.998542435678543,0.327702628640078,0.00283151084523586,0.530652508326952
"c1_avg vs c2_avg",0.0913700040806073,0.790486175661822,0.0925086665485795,0.0214178165007923,2.03293695615502e-05,1.78872357541283e-05,0.181125383883009,0.00025254050119571,0.0142839568129507
"c1_avg vs c3_avg",0.0816254028529407,0.790486175661822,0.0395056955515472,0.0137821511663014,4.45645750549838e-06,1.78872357541283e-05,0.181125383883009,0.00025254050119571,0.000668533592984404
"c2_avg vs c3_avg",0.948191333628557,0.790486175661822,0.798261808442602,0.916180297178561,0.893222741364041,0.998542435678543,0.972662048114112,0.879602920489379,0.707234461477415
