"","genes"
"1","CARKD"
"2","GATSL3"
"3",NA
"4","CROCC"
"5","MAP3K7"
"6","DHX38"
"7","TXNL4B"
"8","ATAD1"
"9","CFLP1"
"10","WDR27"
"11","DUSP4"
"12","GDNF"
"13","GPR124"
"14","IL2RG"
"15","HOXC4"
"16","CAB39L"
"17","IL6"
"18","ATP6V1D"
"19","ZNF423"
"20","ENPP7"
"21","KCTD5"
"22","PPP1R9A"
"23","BTBD10"
"24","MEAF6"
"25","BET1L"
"26","RIC8A"
"27","ZFC3H1"
"28","THAP2"
"29","PRKCZ"
"30","PDE4D"
"31","TMEM196"
"32","RFX8"
"33","SCARB1"
"34","MBOAT7"
"35","TSEN34"
"36","ZNF831"
"37","MACROD1"
"38","CITED2"
"39","PSMB9"
"40","TAP1"
"41","PPOX"
"42","MPST"
"43","ANKRD11"
"44","LOC282997"
"45","PDCD4"
"46","SCARNA2"
"47","KCNK3"
"48","SDCCAG8"
"49","SETD1A"
"50","TTLL10"
"51","PAQR9"
"52","ABT1"
"53","CACYBP"
"54","FAM92A1"
"55","ZBTB47"
"56","DBX1"
"57","CORO2B"
"58","ATP13A4"
"59","PDGFB"
"60","DGCR14"
"61","NEK4"
"62","ZNF226"
"63","TBX18"
"64","RAB6A"
"65","HNRNPF"
"66","ZFP42"
"67","PACRG"
"68","C7orf58"
"69","FMNL1"
"70","ZNF562"
"71","FTMT"
"72","RAD51AP1"
"73","C12orf4"
"74","ABCB7"
"75","PRPF38B"
"76","MCM2"
"77","DNAH10"
"78","ICAM2"
"79","IMMT"
"80","CDH4"
"81","PRRG4"
"82","STOX2"
"83","PAX6"
"84","TESC"
"85","SIX1"
"86","WDR16"
"87","STX8"
"88","AGBL4"
"89","ECE1"
"90","SLC22A1"
"91","PA2G4"
"92","RNF13"
"93","AMICA1"
"94","HSPH1"
"95","MDP1"
"96","PRDM16"
"97","GRIN1"
"98","CKAP2"
"99","LEPROTL1"
"100","OGDH"
"101","SDF4"
"102","B3GALT6"
"103","ANKRD23"
"104","DDA1"
"105","C1orf170"
"106","MAD1L1"
"107","BAHD1"
"108","EDC3"
"109","FLT1"
"110","NDUFS2"
"111","BRPF1"
"112","GNMT"
"113","NKX2-2"
"114","LRP8"
"115","TCHP"
"116","CASZ1"
"117","PPAN-P2RY11"
"118","SNORD105B"
"119","PPAN"
"120","TIMM8B"
"121","SDHD"
"122","IGF1R"
"123","SUMO1"
"124","ACY1"
"125","LOC283663"
"126","C6orf25"
"127","TMBIM4"
"128","PLXNA3"
"129","ALDH1A3"
"130","MBP"
"131","CCDC48"
"132","EIF1"
"133","CIC"
"134","VPS37B"
"135","C11orf41"
"136","NCRNA00171"
"137","RADIL"
"138","TRPM1"
"139","DUSP14"
"140","CAMTA1"
"141","FMN1"
"142","HS6ST1"
"143","TTBK1"
"144","CDS1"
"145","LOC401463"
"146","ACP1"
"147","SH3YL1"
"148","AHCY"
"149","GDPD1"
"150","AMPH"
"151","TRIM26"
"152","C7orf41"
"153","RFX1"
"154","ELK3"
"155","MICAL2"
"156","GOPC"
"157","NAA10"
"158","VWC2"
"159","TBC1D24"
"160","ITGB4"
"161","GRK5"
"162","CLK3"
"163","MECOM"
"164","SUNC1"
"165","NOTCH4"
"166","PIP4K2C"
"167","FUT11"
"168","C14orf166"
"169","MCM7"
"170","AP4M1"
"171","PDE4C"
"172","PTCD2"
"173","FLT4"
"174","FAM19A5"
"175","ACR"
"176","RGS12"
"177","CCDC79"
"178","HTT"
"179","PCDH18"
