Category,Term,Count,%,P-Value,Benjamini
GOTERM_BP_DIRECT,"positive regulation of transcription, DNA-templated",16,10.3,4.80E-04,5.70E-01
GOTERM_BP_DIRECT,regulation of developmental process,3,1.9,2.00E-03,1.00E+00
GOTERM_BP_DIRECT,"negative regulation of transcription, DNA-templated",12,7.7,6.10E-03,1.00E+00
GOTERM_BP_DIRECT,vasculature development,3,1.9,6.60E-03,1.00E+00
GOTERM_BP_DIRECT,cation transmembrane transport,4,2.6,7.10E-03,1.00E+00
GOTERM_BP_DIRECT,neuron projection development,5,3.2,1.80E-02,1.00E+00
GOTERM_BP_DIRECT,negative regulation of apoptotic process,10,6.4,2.20E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of transcription from RNA polymerase II promoter,17,10.9,2.40E-02,1.00E+00
GOTERM_BP_DIRECT,peptidyl-tyrosine phosphorylation,5,3.2,2.50E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of excitatory postsynaptic potential,3,1.9,2.50E-02,1.00E+00
GOTERM_BP_DIRECT,establishment of cell polarity,3,1.9,3.00E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of ureteric bud formation,2,1.3,3.00E-02,1.00E+00
GOTERM_BP_DIRECT,gene expression,4,2.6,3.20E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of MAPK cascade,5,3.2,3.60E-02,1.00E+00
GOTERM_BP_DIRECT,histone H3-K23 acetylation,2,1.3,3.80E-02,1.00E+00
GOTERM_BP_DIRECT,regulation of transcription from RNA polymerase II promoter,21,13.5,4.20E-02,1.00E+00
GOTERM_BP_DIRECT,apoptotic process,10,6.4,4.60E-02,1.00E+00
GOTERM_BP_DIRECT,monocyte chemotaxis,3,1.9,4.70E-02,1.00E+00
GOTERM_BP_DIRECT,phosphatidylinositol biosynthetic process,3,1.9,4.90E-02,1.00E+00
GOTERM_BP_DIRECT,protein autophosphorylation,5,3.2,5.20E-02,1.00E+00
GOTERM_BP_DIRECT,thymus development,3,1.9,5.30E-02,1.00E+00
GOTERM_BP_DIRECT,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,2,1.3,6.00E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of epithelial cell differentiation,2,1.3,6.00E-02,1.00E+00
GOTERM_BP_DIRECT,brain development,6,3.8,6.10E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of cell proliferation,9,5.8,6.50E-02,1.00E+00
GOTERM_BP_DIRECT,pyramidal neuron development,2,1.3,6.70E-02,1.00E+00
GOTERM_BP_DIRECT,ventral spinal cord development,2,1.3,6.70E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of T-helper 2 cell cytokine production,2,1.3,6.70E-02,1.00E+00
GOTERM_BP_DIRECT,cAMP catabolic process,2,1.3,6.70E-02,1.00E+00
GOTERM_BP_DIRECT,negative regulation of vascular smooth muscle cell differentiation,2,1.3,6.70E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of cysteine-type endopeptidase activity,2,1.3,7.40E-02,1.00E+00
GOTERM_BP_DIRECT,regulation of hemopoiesis,2,1.3,8.20E-02,1.00E+00
GOTERM_BP_DIRECT,positive regulation of interleukin-5 production,2,1.3,8.20E-02,1.00E+00
GOTERM_BP_DIRECT,heterochromatin organization,2,1.3,8.20E-02,1.00E+00
GOTERM_BP_DIRECT,organ induction,2,1.3,8.20E-02,1.00E+00
GOTERM_BP_DIRECT,multicellular organism development,5,3.2,8.70E-02,1.00E+00
GOTERM_BP_DIRECT,double-strand break repair via break-induced replication,2,1.3,8.90E-02,1.00E+00
GOTERM_BP_DIRECT,heart development,5,3.2,9.00E-02,1.00E+00
GOTERM_BP_DIRECT,cell projection organization,3,1.9,9.00E-02,1.00E+00
GOTERM_CC_DIRECT,cytosol,60,38.5,8.10E-04,1.70E-01
GOTERM_CC_DIRECT,nucleus,63,40.4,1.40E-03,1.70E-01
GOTERM_CC_DIRECT,nucleoplasm,45,28.8,2.40E-03,1.70E-01
GOTERM_CC_DIRECT,endosome,9,5.8,2.60E-03,1.70E-01
GOTERM_CC_DIRECT,chromatin,16,10.3,1.20E-02,6.50E-01
GOTERM_CC_DIRECT,receptor complex,6,3.8,2.30E-02,1.00E+00
GOTERM_CC_DIRECT,membrane,39,25,2.60E-02,1.00E+00
GOTERM_CC_DIRECT,integral component of plasma membrane,18,11.5,3.40E-02,1.00E+00
GOTERM_CC_DIRECT,actin cytoskeleton,6,3.8,4.30E-02,1.00E+00
GOTERM_CC_DIRECT,Golgi membrane,10,6.4,6.10E-02,1.00E+00
GOTERM_CC_DIRECT,bleb,2,1.3,6.50E-02,1.00E+00
GOTERM_CC_DIRECT,MCM complex,2,1.3,6.50E-02,1.00E+00
GOTERM_CC_DIRECT,MOZ/MORF histone acetyltransferase complex,2,1.3,6.50E-02,1.00E+00
GOTERM_CC_DIRECT,apical cortex,2,1.3,7.80E-02,1.00E+00
GOTERM_CC_DIRECT,CMG complex,2,1.3,7.80E-02,1.00E+00
GOTERM_CC_DIRECT,late endosome membrane,4,2.6,8.50E-02,1.00E+00
GOTERM_CC_DIRECT,plasma membrane,48,30.8,8.90E-02,1.00E+00
GOTERM_MF_DIRECT,protein binding,118,75.6,2.50E-03,9.10E-01
GOTERM_MF_DIRECT,protein tyrosine kinase activity,5,3.2,1.30E-02,1.00E+00
GOTERM_MF_DIRECT,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",10,6.4,1.50E-02,1.00E+00
GOTERM_MF_DIRECT,ubiquitin protein ligase binding,7,4.5,3.70E-02,1.00E+00
GOTERM_MF_DIRECT,DNA binding,18,11.5,3.80E-02,1.00E+00
GOTERM_MF_DIRECT,ATP binding,20,12.8,3.80E-02,1.00E+00
GOTERM_MF_DIRECT,metal ion binding,30,19.2,5.10E-02,1.00E+00
GOTERM_MF_DIRECT,protein tyrosine phosphatase activity,4,2.6,5.40E-02,1.00E+00
GOTERM_MF_DIRECT,vascular endothelial growth factor-activated receptor activity,2,1.3,6.20E-02,1.00E+00
GOTERM_MF_DIRECT,protein homodimerization activity,11,7.1,6.30E-02,1.00E+00
GOTERM_MF_DIRECT,transmembrane receptor protein tyrosine kinase activity,4,2.6,6.60E-02,1.00E+00
GOTERM_MF_DIRECT,acid phosphatase activity,2,1.3,7.00E-02,1.00E+00
GOTERM_MF_DIRECT,"ATPase activity, coupled to transmembrane movement of substances",3,1.9,7.60E-02,1.00E+00
GOTERM_MF_DIRECT,histone methyltransferase activity (H3-K9 specific),2,1.3,7.70E-02,1.00E+00
GOTERM_MF_DIRECT,protein kinase activity,7,4.5,8.40E-02,1.00E+00
GOTERM_MF_DIRECT,histone acetyltransferase activity (H4-K8 specific),2,1.3,8.40E-02,1.00E+00
GOTERM_MF_DIRECT,histone acetyltransferase activity (H4-K5 specific),2,1.3,8.40E-02,1.00E+00
GOTERM_MF_DIRECT,histone acetyltransferase activity (H4-K12 specific),2,1.3,9.20E-02,1.00E+00
GOTERM_MF_DIRECT,identical protein binding,20,12.8,9.30E-02,1.00E+00
GOTERM_MF_DIRECT,MAP kinase tyrosine/serine/threonine phosphatase activity,2,1.3,9.90E-02,1.00E+00
GOTERM_MF_DIRECT,glycine binding,2,1.3,9.90E-02,1.00E+00
GOTERM_MF_DIRECT,insulin-like growth factor I binding,2,1.3,9.90E-02,1.00E+00
GOTERM_MF_DIRECT,high-density lipoprotein particle binding,2,1.3,9.90E-02,1.00E+00
KEGG_PATHWAY,Rap1 signaling pathway,6,3.8,3.70E-02,1.00E+00
KEGG_PATHWAY,Metabolic pathways,21,13.5,4.00E-02,1.00E+00
KEGG_PATHWAY,MAPK signaling pathway,7,4.5,4.40E-02,1.00E+00
KEGG_PATHWAY,Endocytosis,6,3.8,6.90E-02,1.00E+00
KEGG_PATHWAY,PI3K-Akt signaling pathway,7,4.5,9.00E-02,1.00E+00
KEGG_PATHWAY,Focal adhesion,5,3.2,1.00E-01,1.00E+00
