"","norm_avg","c1_avg","c2_avg","c3_avg","pval_norm_vs_c1","pval_norm_vs_c2","pval_norm_vs_c3","padj_norm_vs_c1","padj_norm_vs_c2","padj_norm_vs_c3"
"cg00023464",-0.00978049250097481,-0.254460827087541,-0.376795926315392,0.0637617221667996,0.000426631345281758,1.7870260826669e-11,0.00602543260034005,0.00106124547138837,5.92696984084521e-11,0.0109005553406152
"cg00101453",-4.18153276418082,-4.07881224536468,-4.13336199350596,-4.17641642166442,0.128639716718573,0.0848202687114925,0.515515943677787,0.161001909603748,0.101682129358958,0.554527961037187
"cg00483562",-2.24190696472042,-0.685932301525061,-1.96948197192011,-1.98190172381015,1.3541296972619e-09,0.00554039750178903,0.00818056220334173,8.42099405484742e-09,0.00798941378881172,0.0140338955040087
"cg00660701",1.97713390500233,2.05877272996643,2.16408598901755,2.02827223463529,0.456573697996104,0.000318015054405651,0.0429472976347512,0.501978817133838,0.00055513154233969,0.0610401700146908
"cg00693769",3.32403665915712,3.21653039860044,3.24119731149786,3.13829770088378,0.0140056013659956,2.66771892687423e-06,3.0777627560985e-05,0.0240268506192511,5.89862296053302e-06,9.42268905328618e-05
"cg00729269",-2.55339729922045,-2.64936245090553,-2.6036593386205,-2.63163229030301,0.0542145849696869,0.377050461004843,0.345933350331975,0.0776165640932927,0.419179004133876,0.393375638377504
"cg00779130",-3.12442208909803,-3.14820030148135,-3.15497480813714,-3.15639454219083,0.311224400100529,0.131228445652215,0.202477514549279,0.351895770568211,0.152716144355502,0.239839436876824
"cg00905354",4.07100854558168,3.79459505040536,3.9140268240423,3.87416556943048,0.000112322955109878,0.00283486618208173,0.00494435854138475,0.000319318115240939,0.00427377553207776,0.00919558270780903
"cg00936146",-3.25792064889223,-2.09747674284821,-3.2544468161098,-3.25895284657873,0.0156796198250091,0.979836133628657,0.698360380184519,0.0255757733211214,0.979836133628657,0.735310664850366
"cg01043865",-2.51512134438151,-1.56978318772462,-2.34190769843362,-2.45453421252627,1.48282623069207e-07,0.00888934558060939,0.017471148093761,6.86238185831911e-07,0.0125459558194416,0.0267442959281419
"cg01226742",-0.185718160575254,0.230505685158501,-0.746609475619839,-0.212580383452705,0.0026818279145101,0,0.282250682569723,0.00544575260191338,0,0.324669860296964
"cg01361446",0.903932591970119,0.547238850621272,1.40606901236992,0.427931556992437,0.0964440243625029,1.81819496836155e-06,0.000252669314974585,0.126265531895645,4.06540223262864e-06,0.00064463068820439
"cg01579535",-0.155168639183735,0.489896833609428,0.744866570508236,-0.319846729114072,1.5066836667188e-12,0,1.85071994333041e-05,2.72572772433674e-11,0,5.9402140116573e-05
"cg01617920",2.63849386537446,2.78340316158954,2.87831151180149,2.76757236343072,0.128639716718573,3.24346666302766e-06,0.00283501251251306,0.161001909603748,7.01575941241853e-06,0.00547735427174853
"cg01770232",-1.15401626958298,-1.79858220157767,-2.18916399370658,-1.93137203285379,9.683698287688e-12,0,6.83897383169096e-14,1.37646854232137e-10,0,1.72328817882317e-12
"cg02202483",2.99397279853088,2.76509542227471,2.84687207309162,2.78649253962188,0.0381617687488083,0.00102896813689712,0.00141250105691026,0.0570991878271643,0.00167839884625023,0.00302244849811981
"cg02238504",1.97853943282265,1.54776469260765,2.74429101233672,2.42750306720116,0.00531931518684337,0,2.78307210610507e-09,0.0103778796292336,0,2.21532539645963e-08
"cg02310027",0.732796407310574,1.1170486272486,-0.337586278920617,0.902226290279563,0.0327083855064753,0,0.00206975278607713,0.0493103690590044,0,0.00418386036266679
"cg02544836",0.754852540321458,0.595282756820941,0.836630667706147,0.0823261530996274,0.0237480780654946,0.0111506613462955,1.07703512775004e-10,0.0369621391354855,0.0155173539014881,1.07164995211129e-09
"cg02848122",2.98842432242437,2.8453677275513,2.91483373255576,2.79036131532935,0.0843301304485984,0.0586917839145135,7.75228252414273e-05,0.11573583420187,0.0720966975246184,0.000217282284831606
"cg02907415",1.81702292004933,0.925498911878903,2.04258918527939,1.76822058203146,1.28063722019123e-05,1.68338073258667e-06,0.090141364762971,4.6335783057828e-05,3.85049156074422e-06,0.114255615209116
"cg03008269",-2.73607698069655,-2.74208212944282,-2.73144414280258,-2.69063585483128,0.954059045013344,0.226976288056261,0.0871276839779204,0.954059045013344,0.258104464703976,0.111143648151321
"cg03112782",-2.11419509378684,-2.1956193400365,-2.20255937463604,-2.18248097418865,0.141474600366029,0.0108570156995833,0.00590055323380601,0.173786700449628,0.0152151135508245,0.0107725696653889
"cg03115072",-4.16608664880076,-4.06450728483036,-4.06493245298031,-4.10837076868317,0.0959941437006421,0.00377331871479858,0.0134141070120789,0.126265531895645,0.00560365988242476,0.0218803876672435
