"","tumor_cl1_avg","tumor_cl2_avg","norm_cl3_avg","tumor_cl3_avg"
"cg00001245",0.0212697916463117,0.0223136500221863,0.015983713401234,0.0194750478034638
"cg00008665",0.631914455529632,0.694058429811923,0.471273909847579,0.588728143177443
"cg00008945",0.198228525630737,0.0759227804533987,0.10642444460999,0.131781919143634
"cg00009167",0.476310255178558,0.108228107721294,0.0872652648825958,0.104194671445501
"cg00010853",0.459212841587171,0.814280858108552,0.807285501262795,0.632016727027272
"cg00010947",0.0554366778368033,0.0518880833176044,0.0378333968862928,0.0523560696056565
"cg00012762",0.0275446561430672,0.0174230957172166,0.0152074303770167,0.0171132323519696
"cg00012992",0.280165902051319,0.020649641427509,0.0183166467039987,0.0204848912923569
"cg00013441",0.612344375616277,0.168357713616518,0.119715393036095,0.137426946668662
"cg00015024",0.191132468610124,0.0983535596765493,0.119488502988151,0.110266943978809
"cg00016255",0.60257199438285,0.361648304940818,0.293944738980129,0.286588196460759
"cg00016522",0.315557137182865,0.102147798683878,0.179363322233104,0.182519493144113
"cg00016934",0.633364524153624,0.0491786069470394,0.0349908514046086,0.0690109142817184
"cg00021108",0.662118850879463,0.0304712066449492,0.0192230284045873,0.0228734967896885
"cg00021325",0.366962476947941,0.0998134513714224,0.106203205259992,0.114474799974069
"cg00021576",0.0696459974905646,0.0297388480406722,0.0253360619208609,0.0274645911699135
"cg00021783",0.0854571810879596,0.0532577189047083,0.0558208227795221,0.0568884779632224
"cg00022688",0.530081847205367,0.156178803460177,0.129260859922281,0.100839460461897
"cg00025877",0.397596173504203,0.0141722571063724,0.0120671442359451,0.0127287136480393
"cg00026186",0.317683062470606,0.10068421048945,0.143672128345604,0.180137421672461
"cg00026222",0.393979426856809,0.0512747356159701,0.285980955892876,0.0542725638137264
"cg00030422",0.387176171315591,0.147668103824733,0.035852549718639,0.0908252240238895
"cg00031256",0.139042680573506,0.0229979196018972,0.0194427222864299,0.0206662164751497
"cg00031896",0.530291422149001,0.257396662923246,0.276656622336012,0.261889278156568
"cg00032205",0.594569536694295,0.353111282623345,0.298890788822674,0.358374930590197
"cg00035847",0.0839648420671776,0.128428929464302,0.20341648738228,0.113624270847984
"cg00037388",0.171845216008786,0.0708209538442517,0.0771525624449958,0.0725312712825639
"cg00038711",0.359137709012571,0.0918241234140613,0.112635116918554,0.110739201313093
"cg00039627",0.725020697549248,0.0251443448185728,0.0235305131397862,0.0322483594583357
"cg00040873",0.296918112987645,0.18460434664603,0.184162618732952,0.159949740192184
"cg00041084",0.532903556238948,0.0486249148942131,0.0501973232979581,0.0495063698291436
"cg00041759",0.194219485870509,0.0152439072024424,0.0144494823657159,0.0180498838604763
"cg00041872",0.506898738625863,0.282307458313785,0.254602422949824,0.271200357978337
"cg00042246",0.117960413158304,0.0758216740982383,0.0373509995380471,0.0658625225840675
"cg00043790",0.80564731943803,0.730375743364722,0.584385575079828,0.704311479465731
"cg00048759",0.785921664157734,0.604269973592396,0.539931564310103,0.622382725864559
"cg00049323",0.105032259158369,0.457038929297003,0.508716662570075,0.298634117660419
"cg00052932",0.131202190355135,0.0591785853760482,0.116077783625624,0.062849932733577
"cg00053507",0.0986423816915496,0.0650962877322806,0.0665967160176787,0.0664743670496689
"cg00054472",0.643025901926946,0.0964633241531443,0.0634113541876947,0.133600077792366
"cg00054525",0.390490384892377,0.0216456381594104,0.0250251809920957,0.0236516765279828
"cg00054791",0.180233551493115,0.0616595107818062,0.0707761757892968,0.0635036086686994
"cg00056074",0.575309305166059,0.116328015554687,0.142297599058216,0.130167490331552
"cg00058299",0.579479292220285,0.153844627637044,0.13900296074785,0.127780691506106
"cg00059024",0.0969712381119527,0.0224907374410336,0.0199915230684167,0.0220414543853276
"cg00061264",0.412535771648463,0.0539448277463417,0.0692541577986981,0.0700497923988381
"cg00061413",0.613137628948215,0.574195700529562,0.34464012706359,0.514725177919718
"cg00063066",0.0539292348185778,0.054212317772594,0.0370120848946528,0.0468938320451858
"cg00063111",0.201044849023401,0.281297996568908,0.177047812620535,0.152551086612393
"cg00066663",0.186312637314165,0.117739478418183,0.121837170960842,0.165596191007056
