"","tumor_cl1_avg","tumor_cl2_avg","norm_cl3_avg","tumor_cl3_avg"
"cg00001245",0.0211520821156464,0.0226089548919577,0.015983713401234,0.0199656625136197
"cg00008665",0.707720668820523,0.692565870318056,0.471273909847579,0.613566214752819
"cg00008671",0.500018174451631,0.338314600060065,0.509838828765833,0.487160298996533
"cg00009167",0.319775059962689,0.100088594749006,0.0872652648825958,0.0962312909024569
"cg00010853",0.532185269274347,0.848136391384255,0.807285501262795,0.665097004536244
"cg00010947",0.0551438556102898,0.0519052285394207,0.0378333968862928,0.0513289889167919
"cg00012762",0.0240130147581265,0.0171058322478266,0.0152074303770167,0.0168935941457511
"cg00012992",0.116905806533182,0.0205895321637196,0.0183166467039987,0.0206481706952506
"cg00013441",0.350589866863409,0.166742336923941,0.119715393036095,0.144995409998003
"cg00016255",0.45930471372872,0.362432271884093,0.293944738980129,0.306679728674694
"cg00016522",0.230147675858231,0.0874282037315389,0.179363322233104,0.174715870249878
"cg00016934",0.280237783252277,0.0480621528760222,0.0349908514046086,0.0590647668904766
"cg00021108",0.279178499384792,0.0292756569669448,0.0192230284045873,0.0225445264539678
"cg00021325",0.219446246471357,0.0911305005278751,0.106203205259992,0.124585026025211
"cg00021576",0.0438818324574862,0.0298728959985443,0.0253360619208609,0.0281466556357911
"cg00021783",0.075492694579459,0.0517432107021125,0.0558208227795221,0.0554560876973444
"cg00022688",0.351705222205215,0.152690520118842,0.129260859922281,0.105389781483351
"cg00025877",0.155427534765051,0.013427005574117,0.0120671442359451,0.0155922901004497
"cg00026222",0.247664413401773,0.0439150152935491,0.285980955892876,0.0441770039479013
"cg00029826",0.0598820117337,0.0547346511311265,0.0428361908714468,0.0560016431629349
"cg00030422",0.328900096231086,0.138270302126715,0.035852549718639,0.0971748073739935
"cg00031256",0.064490672170079,0.0232711518742819,0.0194427222864299,0.0213435895880236
"cg00031896",0.369981733208993,0.253220668720723,0.276656622336012,0.266971905329276
"cg00032205",0.519762178941918,0.341580971427874,0.298890788822674,0.355695912703326
"cg00035847",0.0924966660832136,0.129575744260829,0.20341648738228,0.12377104151499
"cg00039627",0.296109871160129,0.025275362179039,0.0235305131397862,0.0244881553734592
"cg00041084",0.231454970684839,0.0481965042510973,0.0501973232979581,0.0489186068872744
