"","norm_avg","norm_std","c1_avg","c1_std","c2_avg","c2_std","c3_avg","c3_std","pval_norm_vs_c1","pval_norm_vs_c2","pval_norm_vs_c3","padj_norm_vs_c1","padj_norm_vs_c2","padj_norm_vs_c3"
"cg19380499",0.107450364293682,0.0406373662694995,0.329661930635709,0.269782334416101,0.0611948259911048,0.0446038144440405,0.128745631073022,0.0588870101601906,9.62206314858438e-06,2.77348810584499e-09,0.0638815219613503,3.68228955109287e-05,7.99890047917613e-09,0.0836343609888731
"cg07269003",0.919737871459917,0.0230509202091423,0.902372842235082,0.0288737487949984,0.911304006271481,0.0268033481145604,0.895319320241074,0.0625516600413307,0.0902057102897628,0.0563759311133308,0.00351266906912395,0.121290110457181,0.0696820515003282,0.00672135716111218
"cg14477263",0.988340178309247,0.00210311829219142,0.985929462591288,0.00384647325863395,0.986314599198162,0.0037383281204859,0.987036697167228,0.00288279131357265,0.00933699051612102,0.00028720137737448,0.0493909003289851,0.0162987816904218,0.000514010533443062,0.0687327913669093
"cg12527909",0.97086610738168,0.00546699339741961,0.95871643477744,0.018729684339517,0.962517654079101,0.00898189247993701,0.964681090284131,0.00808759112438054,0.000162579479991987,1.27609034450415e-10,6.26962201446535e-05,0.000455680514343737,4.03082505644963e-10,0.000180819533460667
"cg20640374",0.726310278759917,0.043519462771279,0.903373607399028,0.0533006077778755,0.954302822674185,0.0152317986274745,0.914217773265771,0.0529475956694324,0,0,6.83897383169096e-14,0,0,1.72328817882317e-12
"cg05826626",0.0214285919158539,0.00358188438785002,0.0247610979533357,0.00439879992588343,0.0245425737651025,0.00359709732957079,0.0241128953074279,0.00526384478100205,0.00895116949501218,5.76755855927757e-05,0.0158585148174217,0.0157635639779418,0.000115933752858206,0.024539459312999
"cg05607246",0.0148562124123423,0.00390824759067494,0.0149144836032538,0.0028392149517167,0.0152874257206533,0.00288283319013518,0.0156117527909337,0.00404006161731426,0.934418221078504,0.0917212113211147,0.0539724355650758,0.94872054078889,0.109296533250909,0.0735651690236307
"cg00905354",0.982599767266168,0.00529060867034741,0.976827748758654,0.00745152452248088,0.979463500319881,0.00723498141834476,0.978024391173972,0.00978642004352843,0.000112322955109878,0.00283486618208173,0.00494435854138475,0.000319318115240939,0.00427377553207776,0.00919558270780903
"cg13480619",0.0324239584667288,0.00698814272585389,0.031841509070709,0.00708475870391482,0.0319337753423718,0.00841970163011923,0.0314340075984694,0.00749731937516882,0.709645446647559,0.758908507059922,0.481996373262668,0.735517936889918,0.774475861050894,0.527018012523467
"cg18954051",0.95043040056009,0.0103246138940148,0.933570581714868,0.0229089229909087,0.940550295598682,0.0162220680869606,0.941421855883125,0.0145947695316071,0.000673352516629144,0.000156697629928759,3.78530563798218e-05,0.0016144235037253,0.000294177625998331,0.000112429227157978
"cg17155907",0.0124135616151356,0.00189333753803658,0.0127356828157026,0.0015117332088822,0.0124302451538594,0.00139689954335739,0.0120806297917089,0.00135437978787067,0.0735053579177747,0.0354527096828704,0.321012788984202,0.102290672906554,0.0452249309416103,0.367135316137104
"cg21949518",0.024612428310168,0.00297828356882409,0.0268774260901588,0.00440596051854454,0.0276072405256239,0.00694444569154498,0.0260091446067601,0.00341478379706415,0.0638245467034334,6.30055631233306e-05,0.00628159589825694,0.0900786155601649,0.00012292261825042,0.0112615998536318
