"","master_list","e0"
"1","cg04996852",0
"2","cg06868562",0
"3","cg11383397",0
"4","cg19406511",0
"5","cg08830492",1
"6","cg08867150",0
"7","cg04139749",0
"8","cg21862903",1
"9","cg16048239",0
"10","cg13772218",0
"11","cg26985354",0
"12","cg07482574",1
"13","cg12033021",0
"14","cg01840333",0
"15","cg23244913",0
"16","cg06931193",0
"17","cg03059112",0
"18","cg26218726",0
"19","cg06117184",0
"20","cg07776285",0
"21","cg11818790",0
"22","cg13943560",0
"23","cg09830866",0
"24","cg03887218",0
"25","cg27400644",0
"26","cg23923856",0
"27","cg07230062",1
"28","cg14295958",0
"29","cg23528142",0
"30","cg04125371",1
"31","cg05406088",0
"32","cg08697092",0
"33","cg17221483",0
"34","cg26870584",0
"35","cg05212836",0
"36","cg17420983",0
"37","cg08036309",0
"38","cg24716664",0
"39","cg19428160",0
"40","cg23034788",0
"41","cg19831303",0
"42","cg01971132",0
"43","cg14474669",0
"44","cg16490692",0
"45","cg25769883",0
"46","cg14889643",0
"47","cg21858106",0
"48","cg09341020",0
"49","cg10895973",0
"50","cg00552753",0
"51","cg22962123",0
"52","cg04944266",0
"53","cg25948855",1
"54","cg04299808",0
"55","cg05875410",0
"56","cg03930357",0
"57","cg03142002",0
"58","cg26571870",0
"59","cg02137583",1
"60","cg26386653",1
"61","cg24673605",0
"62","cg17663101",0
"63","cg00097432",0
"64","cg19918429",0
"65","cg00588027",0
"66","cg15486454",1
"67","cg21779088",0
"68","cg26568075",0
"69","cg24642064",0
"70","cg19300923",1
"71","cg06800301",0
"72","cg19685066",0
"73","cg26196106",0
"74","cg09110148",0
"75","cg00187465",1
"76","cg15324077",0
"77","cg05705605",0
"78","cg13860928",0
"79","cg24313734",0
"80","cg26219092",0
"81","cg11473417",0
"82","cg25594106",0
"83","cg23254031",0
"84","cg16547678",0
"85","cg01078903",0
"86","cg18527470",0
"87","cg00512023",0
"88","cg24252910",0
"89","cg13958452",0
"90","cg14560040",0
"91","cg14706200",1
"92","cg27366994",0
"93","cg22642495",0
"94","cg20688157",0
"95","cg00650809",0
"96","cg08876826",0
"97","cg25361907",0
"98","cg19343871",0
"99","cg27277859",0
"100","cg06707978",0
"101","cg20874668",0
"102","cg07750111",0
"103","cg02888490",0
"104","cg00271925",0
"105","cg08933939",0
"106","cg07995200",0
"107","cg00752628",0
"108","cg19600023",0
"109","cg01541650",0
"110","cg12260192",0
"111","cg04652903",0
"112","cg18806606",0
"113","cg08112356",0
"114","cg02489492",0
"115","cg27141514",0
"116","cg15157840",0
"117","cg12650635",1
"118","cg02138198",0
"119","cg08975197",0
"120","cg07456485",0
"121","cg24331384",1
"122","cg13099261",1
"123","cg06336984",0
"124","cg11125315",0
"125","cg15708424",0
"126","cg01566396",0
"127","cg06168324",0
"128","cg07328699",0
"129","cg03764051",0
"130","cg07414097",0
"131","cg07071449",0
"132","cg07929629",0
"133","cg21910390",0
"134","cg24719575",0
"135","cg17237111",1
"136","cg11208229",0
"137","ch.11.942842R",0
"138","cg08788438",0
"139","cg06616077",0
"140","cg10616337",0
"141","cg12992443",0
"142","cg12589798",0
"143","cg18645361",0
"144","cg04533549",0
"145","cg26116937",0
"146","cg11172629",0
"147","cg19677368",0
"148","cg03704503",0
"149","cg25633772",0
"150","cg22891561",0
"151","cg04283815",0
"152","cg09274040",0
"153","cg25153759",0
"154","cg04204557",0
"155","cg23940241",0
"156","cg18963365",0
"157","cg22981296",0
"158","cg12971338",0
"159","cg22947322",0
"160","cg09661632",0
"161","cg26698604",0
"162","cg00035923",0
"163","cg12751005",1
"164","cg26548251",0
"165","cg08753469",0
"166","cg00989961",1
"167","cg00488512",0
"168","cg00965154",0
"169","cg24618413",0
"170","cg05818394",0
"171","cg19957503",0
"172","cg08363673",0
"173","cg13218710",0
"174","cg04840828",0
"175","cg20563794",0
"176","cg22480558",0
"177","cg09026448",0
"178","cg09183151",0
"179","cg03497652",1
"180","cg26340147",0
"181","cg14299483",0
"182","cg14765959",1
"183","cg09506504",0
"184","cg10150686",1
"185","cg09412087",0
"186","cg08890345",0
"187","cg06182322",0
"188","cg01456368",0
"189","cg22944662",0
"190","cg13734833",0
"191","cg06841846",0
"192","cg22447539",0
"193","cg06834916",0
"194","cg26586719",0
"195","cg05399115",0
"196","cg11132921",0
"197","cg18431951",1
"198","cg03561338",0
"199","cg14323067",0
"200","cg17658266",0
"201","cg05215420",0
"202","cg01642152",0
"203","cg20874785",1
"204","cg11752275",0
"205","cg21860968",0
"206","cg16875637",0
"207","cg08081778",1
"208","cg16085553",0
"209","cg15636421",0
"210","cg06053702",0
"211","cg12446543",0
"212","cg23465891",1
"213","cg02454264",0
"214","cg00443946",0
"215","cg06699638",0
"216","cg01834776",0
"217","cg21170007",1
"218","cg22162404",0
"219","cg15007222",0
"220","cg03122669",0
"221","cg23757738",0
"222","cg03107988",0
"223","cg03195230",0
"224","cg22294845",0
"225","cg27505880",0
"226","cg02371369",0
"227","cg06888900",0
"228","cg08857159",0
"229","cg12927270",0
"230","cg27552955",0
"231","cg01445580",0
"232","cg06239191",0
"233","cg16848524",0
"234","cg03633458",1
"235","cg25417344",0
"236","cg20724680",0
"237","cg10582608",0
"238","cg07522644",0
"239","cg17037963",0
"240","cg03175030",0
"241","cg14997711",0
"242","cg18776876",0
"243","cg09230996",0
"244","cg05892960",0
"245","cg22802068",1
"246","cg01798813",0
"247","cg00039960",0
"248","cg13568415",0
"249","cg05463813",1
"250","cg03328215",0
"251","cg09391399",1
"252","cg00293189",1
"253","cg05762680",0
"254","cg10218079",0
"255","cg00251405",0
"256","cg20797674",0
"257","cg22081003",0
"258","cg09820519",0
"259","cg20803370",0
"260","cg04692924",0
"261","cg15304928",0
"262","cg26899811",1
"263","cg01537455",0
"264","cg06572713",0
"265","cg04565547",1
"266","cg22904102",0
"267","cg07584734",0
"268","cg25986105",1
"269","cg16232698",0
"270","cg09323728",0
"271","cg20504417",0
"272","cg25862768",1
"273","cg06849428",0
"274","cg13067221",0
"275","cg22454119",0
"276","cg05008843",0
"277","cg01435493",0
"278","cg18861787",0
"279","cg01769288",0
"280","cg24860562",0
"281","cg05110071",0
"282","cg02169278",0
"283","cg24785741",0
"284","cg10088491",0
"285","cg16821755",0
"286","cg02679745",0
"287","cg21964481",0
"288","cg19751789",0
"289","cg03233793",0
"290","cg14085840",1
"291","cg26246342",0
"292","cg18228203",0
"293","cg07967918",0
"294","cg26618906",0
"295","cg26130090",0
"296","cg07746514",0
"297","cg27103591",0
"298","cg26534993",0
"299","cg03444722",0
"300","cg13533070",0
"301","cg18008675",0
"302","cg15139182",1
"303","cg06408078",0
"304","cg05270082",0
"305","cg09272198",0
"306","cg04717837",0
"307","cg04389533",0
"308","cg23220533",0
"309","cg22707381",0
"310","cg12869797",0
"311","cg08234171",0
"312","cg17202854",0
"313","cg21293933",0
"314","cg24624695",0
"315","cg03830712",0
"316","cg24186506",0
"317","cg00675372",0
"318","cg02370605",1
"319","cg16400238",0
"320","cg22114424",0
"321","cg15410753",0
"322","cg02203656",0
"323","cg01208787",0
"324","cg11251470",0
"325","cg06220161",0
"326","cg09803764",0
"327","cg16514843",0
"328","cg04613133",0
"329","cg04994447",0
"330","cg24652817",1
"331","cg21706535",0
"332","cg11600511",0
"333","cg08143197",0
"334","cg11696466",0
"335","cg11827376",0
"336","cg06473578",0
"337","cg04157979",1
"338","cg12366423",0
"339","cg21554217",0
"340","cg23348764",0
"341","cg05563672",1
"342","cg25538602",0
"343","cg06268694",0
"344","cg08214329",0
"345","cg15718222",0
"346","cg13445126",0
"347","cg20935165",0
"348","cg05621343",0
"349","cg23314297",0
"350","cg25053531",0
"351","cg00953355",0
"352","cg05112574",0
"353","cg11285327",0
"354","cg10305311",1
"355","cg08279362",0
"356","cg27239473",0
"357","cg21454600",1
"358","cg25492569",0
"359","cg15329866",0
"360","cg20497554",0
"361","cg06160530",0
"362","cg02947125",0
