bval,norm_avg,norm_std,c1_avg,c1_std,c2_avg,c2_std,c3_avg,c3_std,pval_norm_vs_c1,pval_norm_vs_c2,pval_norm_vs_c3,padj_norm_vs_c1,padj_norm_vs_c2,padj_norm_vs_c3,conv_set
cg00023464,0.4975618364,0.03374866767,0.4403844026,0.1387749505,0.4118298316,0.1179164849,0.5136698607,0.1229490307,0.0004,0,0.006,0.0011,0,0.0109,A
cg00483562,0.09757896927,0.01898930216,0.3800840805,0.2127031887,0.1472313956,0.136637846,0.1352387708,0.09452173116,0,0.0055,0.0082,0,0.008,0.014,A
cg00660701,0.8758939613,0.02593833667,0.8828047746,0.03178256302,0.8942746558,0.02504242596,0.8751182938,0.0657088493,0.4566,0.0003,0.0429,0.502,0.0006,0.061,A
cg00693769,0.9608910087,0.03127041208,0.96012025,0.0119906366,0.9616966221,0.00763941743,0.9513033744,0.06940758556,0.014,0,0,0.024,0,0.0001,A
cg00905354,0.9825997673,0.00529060867,0.9768277488,0.007451524522,0.9794635003,0.007234981418,0.9780243912,0.009786420044,0.0001,0.0028,0.0049,0.0003,0.0043,0.0092,A
cg00936146,0.03756267491,0.006638178524,0.2031655546,0.2587490329,0.03823594738,0.01423007586,0.0378003476,0.0088169703,0.0157,0.9798,0.6984,0.0256,0.9798,0.7353,A
cg01043865,0.076034314,0.01421218163,0.2195104688,0.1929020878,0.09979927768,0.06997405221,0.08774848523,0.0631745116,0,0.0089,0.0175,0,0.0125,0.0267,A
cg01226742,0.4540332977,0.04392056905,0.5444287677,0.2077525778,0.3312013406,0.1076135339,0.4487452071,0.08064070679,0.0027,0,0.2823,0.0054,0,0.3247,A
cg01361446,0.7006310973,0.1125398413,0.6134465998,0.1957592671,0.7686544208,0.1612855414,0.5920806688,0.1610444036,0.0964,0,0.0003,0.1263,0,0.0006,A
cg01579535,0.4614266275,0.04138207609,0.6250339525,0.149864268,0.6696964471,0.1244359618,0.4493647876,0.1822562752,0,0,0,0,0,0.0001,A
cg01617920,0.931631278,0.01497392183,0.9392449229,0.01805732855,0.944871663,0.01534803473,0.9358511814,0.03505462805,0.1286,0,0.0028,0.161,0,0.0055,A
cg01770232,0.2424577689,0.04488807758,0.1512978608,0.07211196193,0.1103004155,0.06387100024,0.1350076536,0.05293500096,0,0,0,0,0,0,A
cg02202483,0.9514194105,0.009843023978,0.93689222,0.02642590823,0.943841722,0.01291008203,0.9386381916,0.02425623096,0.0382,0.001,0.0014,0.0571,0.0017,0.003,A
cg02238504,0.8725078508,0.04622924327,0.7689825901,0.2029066683,0.9348291797,0.0411662031,0.908074179,0.06087527241,0.0053,0,0,0.0104,0,0,A
cg02310027,0.6672334946,0.07583744064,0.6833894637,0.2080669024,0.4189942351,0.1561231938,0.6671026019,0.1758407905,0.0327,0,0.0021,0.0493,0,0.0042,A
cg02544836,0.6770302326,0.06956617131,0.6387999137,0.09935005012,0.6891605,0.09223708977,0.5176458618,0.1271572014,0.0237,0.0112,0,0.037,0.0155,0,A
cg02848122,0.9512777748,0.009563336908,0.943836131,0.01306394776,0.9477445598,0.009813770837,0.9407272559,0.01505759457,0.0843,0.0587,0.0001,0.1157,0.0721,0.0002,A
cg02907415,0.8534180025,0.04514398094,0.6679150343,0.2169567914,0.8592895445,0.1127785003,0.8287155297,0.1294946703,0,0,0.0901,0,0,0.1143,A
cg03112782,0.1085910091,0.01481378438,0.1019626339,0.02186319454,0.1009081301,0.01742670047,0.1040609315,0.03216307032,0.1415,0.0109,0.0059,0.1738,0.0152,0.0108,A
cg03115072,0.01560396964,0.003484325516,0.01723166991,0.003612908876,0.01735213512,0.004238728159,0.01667533115,0.004103372015,0.096,0.0038,0.0134,0.1263,0.0056,0.0219,A
