"","tumor_cl1_avg","tumor_cl2_avg","norm_cl3_avg","tumor_cl3_avg"
"cg00001245",0.0215063193872287,0.022918266067874,0.015983713401234,0.0193155379815702
"cg00008665",0.716034661354466,0.689033647386869,0.471273909847579,0.627361531567552
"cg00008671",0.52445646060441,0.333754386650127,0.509838828765833,0.479418420060023
"cg00009167",0.358328055672386,0.100001463618559,0.0872652648825958,0.0894347921407264
"cg00010947",0.0548553883667911,0.0520770697441355,0.0378333968862928,0.0511647321080789
"cg00012762",0.0237496433934852,0.0172949655823994,0.0152074303770167,0.0167463056336273
"cg00012992",0.12465462976504,0.0205909465491387,0.0183166467039987,0.0206236585588438
"cg00013441",0.364775180280248,0.167002695476405,0.119715393036095,0.146696387469388
"cg00016255",0.476924254671449,0.359945661682744,0.293944738980129,0.314690073843954
"cg00016522",0.227785671701277,0.0967818195176696,0.179363322233104,0.148434279871293
"cg00016934",0.283474501565475,0.049807342185242,0.0349908514046086,0.0591772687629385
"cg00021108",0.299634272250059,0.0292645451357383,0.0192230284045873,0.0230717011008861
"cg00021576",0.0447041314838727,0.029827382442718,0.0253360619208609,0.0285315415209147
"cg00021783",0.0750789650670198,0.0519142799205705,0.0558208227795221,0.0554926965740024
"cg00022688",0.382456185164392,0.153747558286127,0.129260859922281,0.102285654357097
"cg00025877",0.166813214765865,0.0135111308857514,0.0120671442359451,0.0151671723312626
"cg00026222",0.264014721048133,0.0439174476567594,0.285980955892876,0.044127584939
"cg00029826",0.0591965876828017,0.0544707951373733,0.0428361908714468,0.0568985551796497
"cg00030422",0.354334147066138,0.140045174825576,0.035852549718639,0.0933659841218279
"cg00031256",0.0679168909003989,0.0234162382716063,0.0194427222864299,0.021138895706262
"cg00031896",0.384875479688819,0.24911051086519,0.276656622336012,0.273560029329518
"cg00032205",0.534782351788451,0.342970727563665,0.298890788822674,0.35068753531905
"cg00035847",0.0933484160570245,0.124980092218435,0.20341648738228,0.134067344511746
"cg00039627",0.317383068343745,0.0252927282003621,0.0235305131397862,0.0246625208152142
"cg00040873",0.248579236379193,0.181768164369287,0.184162618732952,0.170143207467843
"cg00041084",0.246013264810115,0.0481227714158371,0.0501973232979581,0.0490610459874413
"cg00041759",0.0927840364140364,0.0154148318166257,0.0144494823657159,0.0143970827940327
"cg00041872",0.474695424243397,0.278991174093923,0.254602422949824,0.24761450116432
"cg00042246",0.085221741919565,0.0748070787814149,0.0373509995380471,0.074999098473578
"cg00042409",0.346206906512635,0.233248898751421,0.213116452594712,0.29328245225179
"cg00043790",0.78995395710923,0.719401297943868,0.584385575079828,0.731012243369354
"cg00048759",0.783074967626633,0.595350679237569,0.539931564310103,0.599091480422026
"cg00049323",0.282645869521689,0.467703701490045,0.508716662570075,0.349476699145591
"cg00052932",0.0963125522558209,0.0585347484219213,0.116077783625624,0.0599698471502516
"cg00053507",0.0902281100162844,0.0642598360883062,0.0665967160176787,0.0638016109004852
"cg00054472",0.338288655971455,0.0913941573421097,0.0634113541876947,0.122471263023771
"cg00056074",0.327434157513079,0.114597143548941,0.142297599058216,0.118995570495036
"cg00057663",0.181288308358123,0.149076083480236,0.223110353382495,0.164747242941998
"cg00058299",0.34867883346866,0.154601422015153,0.13900296074785,0.127948773325577
"cg00059024",0.0523243807023491,0.0224542075988634,0.0199915230684167,0.0222983520867768
"cg00061413",0.582911245039436,0.565665241734148,0.34464012706359,0.561977069203392
"cg00063066",0.0524402777534705,0.0545132562425517,0.0370120848946528,0.0497423641391294
"cg00063111",0.16263936954119,0.307961831301142,0.177047812620535,0.171397267594997
"cg00067414",0.10607632308874,0.0873119159996964,0.117893051771695,0.0757724817671017
"cg00067471",0.127881059528733,0.165226519099428,0.210054646714279,0.148866843435103
"cg00071265",0.195529343052063,0.300091823881226,0.217161691037725,0.233114448289147
"cg00071950",0.240353154242846,0.0758230944187875,0.0911099595350936,0.101776829556986
"cg00073090",0.217185022832576,0.134244573516344,0.423558826296061,0.235062746546447
"cg00073460",0.379761076978072,0.19487332961515,0.413072483890925,0.291091102321309
"cg00078025",0.390607570815817,0.388586612889756,0.289243876461067,0.256194450935412
"cg00078221",0.269078655019511,0.0623617153316123,0.0867064200573821,0.0951288315824319
"cg00085434",0.622875172969945,0.667332835846496,0.46709848567853,0.488087473250637
"cg00085493",0.655684855598227,0.700388751987631,0.394387771004009,0.43440157315275
"cg00088042",0.0724662245026316,0.0585920501986395,0.162536640171236,0.0696054422086135
"cg00089224",0.177006877943223,0.0464497591068825,0.0475305950379395,0.0453372428972783
"cg00089464",0.165411959787215,0.0581941025649284,0.0614178579673538,0.0691426880232228
"cg00092518",0.432141362259953,0.195963722229969,0.0903586816243659,0.131040893816883
"cg00093058",0.164520445252433,0.0583579600543834,0.0540151366075438,0.0556894228335654
"cg00095165",0.536691839247991,0.323660228011775,0.347231983683514,0.372596522188057
"cg00100399",0.281495902800066,0.110030692214779,0.110754261947748,0.123575490849256
"cg00102920",0.056067817856227,0.057651098244723,0.0874778658634795,0.0607005763176917
"cg00104267",0.0554193059090359,0.0403461837582665,0.0380947159004206,0.0394544057301544
"cg00104845",0.350875215486474,0.160287000605892,0.0494145822623568,0.168821396274605
"cg00105025",0.429720179874171,0.258266083038323,0.255496860455613,0.20676247357886
"cg00107782",0.1952675203134,0.0506721746869552,0.0472605103742254,0.0857867478347527
"cg00110688",0.0924796058283855,0.061839209848388,0.0994081071123083,0.0926085703694282
"cg00111359",0.0970456451003642,0.0582344025723848,0.0543470607075381,0.0566429120037154
"cg00112780",0.0242803080002715,0.0316076823176383,0.0203833093966264,0.0238634511993947
"cg00113050",0.185765039776756,0.104931770260225,0.0841132382011285,0.0786252135384827
"cg00114008",0.0696762842858408,0.0327722004367589,0.021262322124245,0.0282556686979162
"cg00115040",0.246181090539676,0.0306207369041438,0.0287529387485268,0.0301649870440885
"cg00115178",0.315338165555948,0.0781754098008316,0.381156241901114,0.172516084972079
"cg00116058",0.036867978693422,0.0429741016784832,0.0241859191724274,0.0373058415039866
"cg00117651",0.186410451246247,0.028409176511381,0.0250097042605092,0.0377403990472735
"cg00119314",0.759983820966474,0.761279533052334,0.463909088266561,0.670690116694127
"cg00120948",0.13469851259483,0.107266711732058,0.0535845962237535,0.0912832843590849
"cg00121533",0.05379578202295,0.0662691678265213,0.0925157072017982,0.0862339189543085
"cg00121634",0.273477337362409,0.0851114074896478,0.0504725594749531,0.0635189691900877
"cg00123512",0.277780687867773,0.0675081583431553,0.0627225082758082,0.0663276845730938
"cg00128601",0.259849280743175,0.1272853576851,0.140512232824134,0.118758137828057
"cg00129132",0.190785157096301,0.118050546596277,0.105824909074692,0.112766243358417
"cg00131081",0.530701214432671,0.475666924554071,0.345116663504442,0.436453741141013
"cg00131618",0.0375185735227393,0.0418829238355532,0.030901856288879,0.0400904479959296
"cg00131958",0.427901671658087,0.0608980444072249,0.0476829196439385,0.0646175556835022
"cg00132108",0.344945675618203,0.0702059907667578,0.0814430244636639,0.0665090477421141
"cg00134210",0.0702189873417205,0.0601671574572494,0.146066588193338,0.0657104519597208
"cg00134843",0.227025906034483,0.0403760237373371,0.0337861412461058,0.0404655946862324
"cg00135056",0.139937417609197,0.0953428093930556,0.0972344857231755,0.123136172871955
"cg00135870",0.528531895376099,0.307948542992192,0.186858349032111,0.219286955577123
"cg00137156",0.0702837763212487,0.0351641966855032,0.0324225879723104,0.0355932580409511
"cg00137585",0.0383134156288643,0.0469624198537787,0.0296567242257027,0.0431225812322562
"cg00139244",0.0413370409869868,0.0380248703027245,0.0274515289907493,0.0346480538757366
"cg00140191",0.269949900989291,0.0245888695642248,0.0257584946275413,0.0293038262427677
"cg00140447",0.524096116634166,0.668435415984929,0.500882209290438,0.426413851126188
"cg00142925",0.302579671875552,0.0645483962635391,0.0783096691328978,0.0917704369771862
"cg00146695",0.245307610605426,0.0583017731972079,0.0570259672679085,0.0583202012038603
"cg00146951",0.155776686136244,0.0645190927192443,0.104626317051126,0.0665235171689985
"cg00152175",0.124682746267103,0.0286221881900386,0.0212863285767494,0.0238386680908757
"cg00152259",0.499364255568363,0.324357052318356,0.315487747498401,0.337059131813825
"cg00152799",0.252141645722728,0.147447254668934,0.271587550562647,0.23862384166216
"cg00155063",0.510818302273557,0.269007225777719,0.0270407218400395,0.154950381796592
"cg00155622",0.107426269899442,0.111847252268743,0.0784300178318034,0.106410879956912
"cg00158254",0.0261522427804119,0.0190797538419485,0.0186344566690166,0.0181203979101834
"cg00158333",0.52883510081109,0.281218925281507,0.17277565229515,0.23349039263708
"cg00159243",0.437078573876993,0.137290098601414,0.652930743374409,0.323404840873001
"cg00160818",0.0708159485862352,0.0273304011053776,0.0293294179724234,0.0268634715557824
"cg00164196",0.325804423709926,0.0658998605279304,0.0707513427637413,0.0650948137057963
"cg00164997",0.560335719891534,0.212457779040432,0.38046505265324,0.261719628738718
"cg00166750",0.274986935061965,0.0721611082890569,0.145731052624135,0.0804182253512695
"cg00167275",0.166118487603273,0.0483925241473697,0.0590820452327074,0.0742957939078203
"cg00168785",0.100850998632833,0.0753992861830934,0.0735950870945397,0.119884464441677
"cg00168835",0.418589753088151,0.172363604414636,0.132028079807825,0.126724925542908
"cg00174179",0.277321230334057,0.210200307196326,0.375862596023841,0.277066147083288
"cg00175573",0.577328348848319,0.703559263933053,0.520832260033575,0.47530789579487
"cg00179217",0.297064712174158,0.743879390276811,0.298974581861955,0.33625409487414
"cg00185336",0.0816729127921553,0.0763151896198709,0.134808170328599,0.0808401593377157
"cg00185839",0.282867922824013,0.0508079419763634,0.0354468862000562,0.0371923419982019
"cg00187414",0.342830235898701,0.132250792627619,0.131569480619018,0.159027598794149
"cg00187465",0.501567552481032,0.56504856659225,0.406517308390921,0.517721836650518
"cg00187535",0.552623276029401,0.549746324653239,0.279087726732114,0.385177259895693
"cg00193668",0.163574648695957,0.1222996941683,0.125181737504815,0.22048084445904
"cg00199007",0.386491735825396,0.0968341859816438,0.0725194755442397,0.162461567772063
"cg00201414",0.345640965265291,0.0774210748794658,0.0571334879613632,0.0778598154390185
"cg00204465",0.67639531868917,0.65411664507895,0.412205083020338,0.504907281088653
"cg00206414",0.3558694699395,0.136238109954191,0.062093467519857,0.191915362443106
"cg00206999",0.316183078649495,0.20500629958419,0.222412223664827,0.216617000331362
"cg00207731",0.559606205347452,0.682825002166708,0.462917629111635,0.50764444577724
"cg00210994",0.198548599169887,0.0326538270137931,0.0304897824798271,0.0340427640609519
"cg00216901",0.446674003876753,0.314575332677408,0.287562917807155,0.386140950318278
"cg00218893",0.568610938545062,0.260358962591267,0.401533211497707,0.394502907991989
"cg00221745",0.070061802649659,0.0169235029551775,0.0344452453376563,0.0214229352060464
"cg00221969",0.215778289259924,0.0283556911946912,0.026785496843248,0.0250142035852927
"cg00226608",0.10510485907697,0.0125492899219108,0.0119995538322837,0.0124929421136268
"cg00231945",0.74896027486992,0.677330221797537,0.560095015251982,0.609255287097872
"cg00232874",0.0755345708295772,0.0290569688534641,0.0223706108731118,0.0247632453551436
"cg00233307",0.528261319105583,0.413244293443176,0.214763949502783,0.253093929386214
"cg00236302",0.452569634644382,0.40387585007939,0.335520227894586,0.411846175169983
"cg00236919",0.40240618483141,0.306943120776006,0.246307438222148,0.311722926589037
"cg00237391",0.577571937003265,0.747871071205224,0.541478128296752,0.496056572089306
"cg00238249",0.198429515377057,0.223770503574894,0.31659978426651,0.273803959345033
"cg00238349",0.204453468446028,0.27728076502391,0.189123207596853,0.249637287698076
"cg00238897",0.156706798778918,0.0378823227160765,0.0169080601346761,0.0336566873545306
"cg00242839",0.588118652139451,0.481704004879874,0.430648049519168,0.458298634296865
"cg00242976",0.263086207320577,0.201604046117516,0.140043689157422,0.237804492557133
"cg00244040",0.527287746814418,0.518767209580877,0.331713295814681,0.348771518461229
"cg00244634",0.101699743354057,0.0890171697856467,0.0731088825815788,0.078905276779008
"cg00246451",0.15595820536376,0.143296026373186,0.430954884643141,0.158449835726407
"cg00247599",0.206886464995852,0.100549457596581,0.0667263610154181,0.091696610393523
"cg00248638",0.0683192859771565,0.0627373261289331,0.0394247538430193,0.0520219749213616
"cg00250422",0.295054969889988,0.0557746404393094,0.0720887677914722,0.0696058408611326
"cg00251405",0.511781038849337,0.451413949643413,0.214514970708177,0.318745315043205
"cg00251618",0.448922150677165,0.140702819631479,0.18043088009254,0.170386680918021
"cg00252781",0.27760462866249,0.120396291631829,0.276400770120858,0.165084535168057
"cg00252813",0.0852486587824213,0.0616128634677263,0.107777226348649,0.0871258587426591
"cg00254017",0.608494250908038,0.322157575170656,0.507334698556634,0.429169188081591
"cg00254802",0.023153604399654,0.0207130208132816,0.0625777811449789,0.0370344402535605
"cg00255837",0.105094053888148,0.0544330034623595,0.0419003683893522,0.0520404927468625
"cg00260647",0.072922554296274,0.0835607586279009,0.0539100032423929,0.0701863180937139
"cg00264467",0.131678219821112,0.108395970138483,0.0971479570780991,0.103804838268673
"cg00265863",0.260325483407779,0.0479574306898878,0.0512089351172698,0.0495618893277622
"cg00268019",0.271298506676489,0.0581932933578089,0.0393595492821519,0.0602314797831303
"cg00275232",0.263128988816434,0.0277547110523962,0.0201175875744626,0.0189739903280544
"cg00278692",0.0417207113296157,0.0299226956524808,0.0218884808202067,0.0283674878197202
"cg00280758",0.0360797797821798,0.0307493613895432,0.068119080946545,0.0342533077466908
"cg00281153",0.0339106713938194,0.0324267839257985,0.0280734020710846,0.0381099172797486
"cg00281842",0.0539118726605222,0.0246987676467385,0.0192753925162666,0.0241790569468274
"cg00281977",0.277364678818327,0.0156890289912884,0.0217963804483948,0.0469323403303906
"cg00284153",0.751038958337232,0.515418419053492,0.542996330385411,0.573525728078558
"cg00288844",0.423769547298422,0.303016452370964,0.221031133937041,0.325436184187624
"cg00290373",0.107281416819172,0.0983928525071622,0.193584178408763,0.141716545281252
"cg00292664",0.0281213311726053,0.0189834959485827,0.0133162632977479,0.0179090066518914
"cg00293245",0.318924306506064,0.0487357763826847,0.0463446051672801,0.0421442157183698
"cg00293409",0.348314197256897,0.0651588588621422,0.0623633264568038,0.063962829963497
"cg00297876",0.731201975158196,0.703632026711723,0.52214583468204,0.527177068454575
"cg00297950",0.189711038900766,0.054632687533229,0.0319214850015264,0.0839310351710846
"cg00300298",0.073501111015371,0.0484063376944083,0.0887063266791873,0.0754767017255961
"cg00300822",0.0898840970644213,0.183200331965516,0.202692304591518,0.148753375668106
"cg00304072",0.0193754276507337,0.0164409918879748,0.0253579816873665,0.016196173932783
"cg00306721",0.415063850721396,0.339832633932573,0.233210519561456,0.292953109757991
"cg00310855",0.122110854702623,0.0245343631521077,0.022346604598292,0.0213724911796031
"cg00311035",0.623063350867068,0.384093024860068,0.432391395619617,0.436740101844825
