"","probes","genes"
"1","cg00023464","CARKD"
"2","cg00936146","DUSP4"
"3","cg00953355",""
"4","cg02238504","ZNF423"
"5","cg02310027","ENPP7"
"6","cg02540440",""
"7","cg02544836","KCTD5"
"8","cg02756106","NELL2"
"9","cg04131583",""
"10","cg06892815","SETD1A"
"11","cg07713896","FAM92A1"
"12","cg08330217",""
"13","cg08568720","GATA5"
"14","cg09035079","RING1"
"15","cg09556823","ZNF226"
"16","cg12259903",""
"17","cg12387106",""
"18","cg13175786","PRDM16"
"19","cg13931277",""
"20","cg14008571","PRDM16"
"21","cg14812313","TAP2"
"22","cg15595571","ZBTB38"
"23","cg16394290","FAM176B"
"24","cg18052528","TNIK"
"25","cg20370909","RADIL"
"26","cg20585869","NEFM"
"27","cg20827077","FMN1"
"28","cg21207665","PAX9"
"29","cg21669326",""
"30","cg21972063","DNAH8"
"31","cg23244913","HCG9"
"32","cg23626762",""
"33","cg23946286","ADAP1"
"34","cg24700929",""
"35","cg25099516",""
"36","cg26000619","AMH"
"37","cg26087735","TRMT61A"
