tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,768,0,live,CA9,"CAIX, MN",carbonic anhydrase 9,carbonic anhydrase 9|CA-IX|P54/58N|RCC-associated antigen G250|RCC-associated protein G250|carbonate dehydratase IX|carbonic anhydrase IX|carbonic dehydratase|membrane antigen MN|pMW1|renal cell carcinoma-associated antigen G250,9p13.3,9,NC_000009.12,35673928,35681159,plus,11,603179
9606,Homo sapiens,4233,0,live,MET,"AUTS9, DA11, DFNB97, HGFR, RCCP2, c-Met","MET proto-oncogene, receptor tyrosine kinase",hepatocyte growth factor receptor|HGF receptor|HGF/SF receptor|SF receptor|proto-oncogene c-Met|scatter factor receptor|tyrosine-protein kinase Met,7q31.2,7,NC_000007.14,116672196,116798377,plus,22,164860
9606,Homo sapiens,5546,0,live,PRCC,"RCCP1, TPRC",proline rich mitotic checkpoint control factor,"proline-rich protein PRCC|PRCC, proline rich mitotic checkpoint control factor|papillary renal cell carcinoma (translocation-associated)|papillary renal cell carcinoma translocation-associated gene protein",1q23.1,1,NC_000001.11,156767535,156800815,plus,7,179755
9606,Homo sapiens,7157,0,live,TP53,"BCC7, BMFS5, LFS1, P53, TRP53",tumor protein p53,cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53,17p13.1,17,NC_000017.11,7668421,7687490,minus,13,191170
9606,Homo sapiens,5028,0,live,P2RY1,"P2Y1, SARCC",purinergic receptor P2Y1,"P2Y purinoceptor 1|ADP receptor|ATP receptor|P2 purinoceptor subtype Y1|platelet ADP receptor|purinergic receptor P2Y, G-protein coupled, 1|suppressing androgen receptor in renal cell carcinoma",3q25.2,3,NC_000003.12,152835131,152841439,plus,1,601167
9606,Homo sapiens,7428,0,live,VHL,"HRCA1, RCA11, pVHL, VHL",von Hippel-Lindau tumor suppressor,"von Hippel-Lindau disease tumor suppressor|elongin binding protein|protein G7|von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase",3p25.3,3,NC_000003.12,10141778,10153667,plus,4,608537
9606,Homo sapiens,1956,0,live,EGFR,"ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA",epidermal growth factor receptor,epidermal growth factor receptor|EGFR vIII|avian erythroblastic leukemia viral (v-erb-b) oncogene homolog|cell growth inhibiting protein 40|cell proliferation-inducing protein 61|epidermal growth factor receptor tyrosine kinase domain|erb-b2 receptor tyrosine kinase 1|proto-oncogene c-ErbB-1|receptor tyrosine-protein kinase erbB-1,7p11.2,7,NC_000007.14,55019017,55211628,plus,32,131550
9606,Homo sapiens,7422,0,live,VEGFA,"MVCD1, VEGF, VPF",vascular endothelial growth factor A,vascular endothelial growth factor A|vascular endothelial growth factor A121|vascular endothelial growth factor A165|vascular permeability factor,6p21.1,6,NC_000006.12,43770211,43786487,plus,9,192240
9606,Homo sapiens,3569,0,live,IL6,"BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6",interleukin 6,interleukin-6|B-cell differentiation factor|B-cell stimulatory factor 2|CTL differentiation factor|hybridoma growth factor|interferon beta-2|interleukin BSF-2,7p15.3,7,NC_000007.14,22727200,22731998,plus,5,147620
9606,Homo sapiens,7040,0,live,TGFB1,"CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta",transforming growth factor beta 1,transforming growth factor beta-1 proprotein|TGF-beta-1|latency-associated peptide|prepro-transforming growth factor beta-1|transforming growth factor beta1,19q13.2,19,NC_000019.10,41330323,41353922,minus,7,190180
