"","probes"
"1","cg04141813"
"2","cg07703401"
"3","cg02401454"
"4","cg00655203"
"5","cg05413988"
"6","cg03390211"
"7","cg01309213"
"8","cg10295858"
"9","cg26913058"
"10","cg06829266"
"11","cg00221969"
"12","cg00806214"
"13","cg10396171"
"14","cg08950915"
"15","cg01435178"
"16","cg27409401"
"17","cg04562611"
"18","cg03349020"
"19","cg01003448"
"20","cg07482202"
"21","cg00099091"
"22","cg08074971"
"23","cg03829194"
"24","cg00820311"
"25","cg09851343"
"26","cg10479181"
"27","cg05031521"
"28","cg09854626"
"29","cg08965276"
"30","cg05520409"
"31","cg02049499"
"32","cg03845626"
"33","cg01159194"
"34","cg01493297"
"35","cg05716270"
"36","cg00870837"
"37","cg16454495"
"38","cg09249980"
"39","cg07687354"
"40","cg10468736"
"41","cg16650212"
"42","cg08101977"
"43","cg05408203"
"44","cg16748643"
"45","cg26827394"
"46","cg27040104"
"47","cg08401703"
"48","cg07484727"
"49","cg26596419"
"50","cg09534489"
"51","cg00943124"
"52","cg09065629"
"53","cg09979311"
"54","cg02330721"
"55","cg05711506"
"56","cg02952494"
"57","cg06462780"
"58","cg07775371"
"59","cg03467725"
"60","cg03282439"
"61","cg03594246"
"62","cg10227187"
"63","cg02101625"
"64","cg07519515"
"65","cg27616661"
"66","cg09286183"
"67","cg06803134"
"68","cg07670266"
"69","cg09476997"
"70","cg04119529"
"71","cg06330323"
"72","cg02364279"
"73","cg10268345"
"74","cg06235653"
"75","cg02331561"
"76","cg02530705"
"77","cg04085822"
"78","cg08664849"
"79","cg08890837"
"80","cg08055663"
"81","cg02863489"
"82","cg04231541"
"83","cg22730830"
"84","cg01232511"
"85","cg07516511"
"86","cg05913514"
"87","cg09786098"
"88","cg26494929"
"89","cg09660145"
"90","cg00319761"
"91","cg02488129"
"92","cg05485462"
"93","cg02199397"
"94","cg06036912"
"95","cg00456894"
"96","cg26942943"
"97","cg26927231"
"98","cg09471916"
"99","cg10077144"
"100","cg16799897"
"101","cg01097180"
"102","cg06755373"
"103","cg07474083"
"104","cg05048377"
"105","cg05196366"
"106","cg08151623"
"107","cg08260052"
"108","cg07116631"
"109","cg08555866"
"110","cg05671386"
"111","cg04473078"
"112","cg00110609"
"113","cg00927231"
"114","cg26929348"
"115","cg03543448"
"116","cg26490274"
"117","cg03442564"
"118","cg16520815"
"119","cg03497652"
"120","cg05751964"
"121","cg07773582"
"122","cg10267867"
"123","cg02230017"
"124","cg03072621"
"125","cg05107500"
"126","cg27376707"
"127","cg07849944"
"128","cg00499781"
"129","cg07740911"
"130","cg09489090"
"131","cg03441945"
"132","cg06322218"
"133","cg00970396"
"134","cg27644733"
"135","cg04933990"
"136","cg08621611"
"137","cg27405732"
"138","cg06890779"
"139","cg05093711"
"140","cg21503093"
"141","cg10152904"
"142","cg03309770"
"143","cg26952618"
"144","cg27581211"
"145","cg06220235"
"146","cg21426387"
"147","cg03816625"
"148","cg00254802"
"149","cg06890432"
"150","cg09918657"
"151","cg07665535"
"152","cg02533339"
"153","cg04981088"
"154","cg03210180"
"155","cg00431447"
"156","cg17880199"
"157","cg04243181"
"158","cg00830767"
"159","cg04396685"
"160","cg02047547"
"161","cg06861044"
"162","cg00437985"
"163","cg05949903"
"164","cg08210629"
"165","cg01574663"
"166","cg16399049"
"167","cg01932956"
"168","cg26768712"
"169","cg04723449"
"170","cg06331185"
"171","cg16735986"
"172","cg15309006"
"173","cg27082486"
"174","cg00611485"
"175","cg01267899"
"176","cg26505691"
"177","cg07461072"
"178","cg09528825"
"179","cg10098582"
"180","cg04315923"
"181","cg09112081"
"182","cg04588455"
"183","cg19769182"
"184","cg02741882"
"185","cg07160932"
"186","cg03890691"
"187","cg03818977"
"188","cg06444125"
"189","cg02286008"
"190","cg07532839"
"191","cg16699861"
"192","cg04640675"
"193","cg00381755"
"194","cg03776506"
"195","cg08486575"
"196","cg05787209"
"197","cg03363863"
"198","cg04797061"
"199","cg01754713"
"200","cg07275305"
"201","cg02311374"
"202","cg07472199"
"203","cg16635314"
"204","cg04797252"
"205","cg26546664"
"206","cg08704196"
"207","cg26507637"
"208","cg27601198"
"209","cg00874817"
"210","cg10021786"
"211","cg02755525"
"212","cg02809746"
"213","cg16573782"
"214","cg08989564"
"215","cg09899868"
"216","cg03622666"
"217","cg27360784"
"218","cg27151770"
"219","cg07880244"
"220","cg00797821"
"221","cg05819154"
"222","cg09265392"
"223","cg01986767"
"224","cg07147599"
"225","cg16750777"
"226","cg26724070"
"227","cg09559780"
"228","cg01068906"
"229","cg00900231"
"230","cg05583608"
"231","cg07726904"
"232","cg06758255"
"233","cg03745002"
"234","cg05332854"
"235","cg04166294"
"236","cg07300060"
"237","cg05544500"
"238","cg01337391"
"239","cg16642791"
"240","cg04340928"
"241","cg05731816"
"242","cg07367395"
"243","cg10250663"
"244","cg04862799"
"245","cg10079740"
"246","cg09350341"
"247","cg02458945"
"248","cg27579359"
"249","cg00866976"
"250","cg00152175"
"251","cg16158681"
"252","cg03015433"
"253","cg06213463"
"254","cg08270206"
"255","cg10506097"
"256","cg02512505"
"257","cg00916884"
"258","cg27334900"
"259","cg02548364"
"260","cg06880930"
"261","cg08324115"
"262","cg02102533"
"263","cg09817677"
"264","cg06339396"
"265","cg27309702"
"266","cg04269043"
"267","cg02574464"
"268","cg07844931"
"269","cg00491255"
"270","cg05910755"
"271","cg01466678"
"272","cg11306587"
"273","cg13031432"
"274","cg04797985"
"275","cg02858606"
"276","cg27120816"
"277","cg01718742"
"278","cg07779653"
"279","cg27543361"
"280","cg23297477"
"281","cg00355909"
"282","cg06251289"
"283","cg10026203"
"284","cg03469521"
"285","cg05552717"
"286","cg26709950"
"287","cg02015909"
"288","cg04138758"
"289","cg08659394"
"290","cg01961069"
"291","cg03213259"
"292","cg05436064"
"293","cg06277900"
"294","cg16553527"
"295","cg07498606"
"296","cg03038029"
"297","cg02909711"
"298","cg08074621"
"299","cg09451235"
"300","cg16545496"
"301","cg07545640"
"302","cg09647884"
"303","cg03314195"
"304","cg09583024"
"305","cg08314208"
"306","cg04822405"
"307","cg04079760"
"308","cg10368447"
"309","cg00891541"
"310","cg10556064"
"311","cg16526137"
"312","cg09900242"
"313","cg00748373"
"314","cg06575065"
"315","cg09419444"
"316","cg00167684"
"317","cg04917208"
"318","cg00147286"
"319","cg27228433"
"320","cg06952752"
"321","cg27262054"
"322","cg02126435"
"323","cg07237906"
"324","cg07196673"
"325","cg08676614"
"326","cg05523056"
"327","cg03238797"
"328","cg06845639"
"329","cg26699292"
"330","cg16713262"
"331","cg08803263"
"332","cg05290300"
"333","cg01957400"
"334","cg00739667"
"335","cg26946978"
"336","cg27595997"
"337","cg08497530"
"338","cg01396387"
"339","cg08856946"
"340","cg03974689"
"341","cg07001856"
"342","cg27154941"
"343","cg08974450"
"344","cg09259081"
"345","cg09188304"
"346","cg26676405"
"347","cg08060857"
"348","cg00942219"
"349","cg16540586"
"350","cg03662545"
"351","cg08428188"
"352","cg06601581"
"353","cg06323896"
"354","cg01904216"
"355","cg01624768"
"356","cg01766882"
"357","cg02893344"
"358","cg02143404"
"359","cg07585257"
"360","cg00128386"
"361","cg09396032"
"362","cg16486327"
"363","cg09480190"
"364","cg04558424"
"365","cg06521653"
"366","cg26970841"
"367","cg03978375"
"368","cg24826867"
"369","cg08428292"
"370","cg02736288"
"371","cg07507559"
"372","cg27644869"
"373","cg08501426"
"374","cg26650638"
"375","cg27598583"
"376","cg00443946"
"377","cg08751438"
"378","cg16357224"
"379","cg04938966"
"380","cg17764989"
"381","cg26918279"
"382","cg00872695"
"383","cg02187214"
"384","cg04510512"
"385","cg03190266"
"386","cg05361489"
"387","cg03717503"
"388","cg07851269"
"389","cg04678901"
"390","cg08754124"
"391","cg01028389"
"392","cg02896970"
"393","cg16497398"
"394","cg07180475"
"395","cg02243714"
"396","cg08145698"
"397","cg10453425"
"398","cg08456666"
"399","cg06642012"
"400","cg03579904"
"401","cg04481596"
"402","cg26569315"
"403","cg07560587"
"404","cg01783679"
"405","cg27271738"
"406","cg02432274"
"407","cg05542646"
"408","cg02656871"
"409","cg04585612"
"410","cg09608716"
"411","cg07215504"
"412","cg08424063"
"413","cg06647693"
"414","cg06593910"
"415","cg08177833"
"416","cg01900006"
"417","cg27092995"
"418","cg07326016"
"419","cg16641055"
"420","cg26841114"
"421","cg06076690"
"422","cg08415156"
"423","cg08698997"
"424","cg01951637"
"425","cg02059317"
"426","cg07027457"
"427","cg06204040"
"428","cg04887172"
"429","cg01191058"
"430","cg04135106"
"431","cg06751898"
"432","cg05350293"
"433","cg01006880"
"434","cg27372369"
"435","cg03172657"
"436","cg02691035"
"437","cg02505676"
"438","cg06251016"
"439","cg04491367"
"440","cg27382568"
"441","cg10256077"
"442","cg04118849"
"443","cg09220891"
"444","cg00759807"
"445","cg26481727"
"446","cg08595667"
"447","cg03286774"
"448","cg06039747"
"449","cg02449821"
"450","cg09738481"
"451","cg00487989"
"452","cg17504203"
"453","cg01290421"
"454","cg06656553"
"455","cg09028487"
"456","cg07516275"
"457","cg04752812"
"458","cg06981439"
"459","cg00782645"
"460","cg25482786"
"461","cg08421685"
"462","cg12065366"
"463","cg21145524"
"464","cg03994820"
"465","cg04426311"
"466","cg10507275"
"467","cg25095722"
"468","cg26163699"
"469","cg02388709"
"470","cg09881545"
"471","cg07351192"
"472","cg24213507"
"473","cg27199820"
"474","cg09465746"
"475","cg19385628"
"476","cg27501759"
"477","cg02945385"
"478","cg25146976"
"479","cg13347257"
"480","cg07551879"
"481","cg18083704"
"482","cg19148440"
"483","cg06181784"
"484","cg06663068"
"485","cg21746851"
"486","cg08888203"
"487","cg01787821"
"488","cg15965542"
"489","cg14499413"
"490","cg11417259"
"491","cg07744841"
"492","cg22331862"
