"","probes","genes"
"1","cg00187465","CC2D1B"
"2","cg00293189","RPL39L"
"3","cg00738345","CUEDC1"
"4","cg00989961","DPP6"
"5","cg01842720","PPFIBP2"
"6","cg02137583",""
"7","cg02370605","CDH7"
"8","cg03497652","ANKS3"
"9","cg03633458","ELANE"
"10","cg04021363",""
"11","cg04125371","FBN1"
"12","cg04157979","MCF2L"
"13","cg04565547","ASAH1"
"14","cg05463813","SRPK3"
"15","cg05563672","TMPRSS2"
"16","cg07230062",""
"17","cg07482574","C19orf63"
"18","cg07482574","FAM71E1"
"19","cg07708286",""
"20","cg08081778","PTPRE"
"21","cg08830492","NFASC"
"22","cg09391399",""
"23","cg10150686","C2orf70"
"24","cg10305311","CLDN10"
"25","cg12650635","AQP2"
"26","cg12751005","DDC"
"27","cg13099261",""
"28","cg14085840",""
"29","cg14706200",""
"30","cg14765959",""
"31","cg15139182",""
"32","cg15486454","BFSP2"
"33","cg17237111","CAMK2D"
"34","cg18431951","PUF60"
"35","cg19300923","PRDM2"
"36","cg20647610","WDR69"
"37","cg20713639",""
"38","cg20874785","LOC100189589"
"39","cg21170007",""
"40","cg21454600",""
"41","cg21862903","BAHD1"
"42","cg22802068","TIMM22"
"43","cg23465891","ATP11A"
"44","cg24331384","TCHP"
"45","cg24631052","C17orf88"
"46","cg24652817","PTPRN2"
"47","cg25862768","C8ORFK29"
"48","cg25948855","ARSB"
"49","cg25986105","SDR16C5"
"50","cg26386653",""
"51","cg26899811","KDM5B"
