"","norm_avg","c1_avg","c2_avg","c3_avg","pval_norm_vs_c1","pval_norm_vs_c2","pval_norm_vs_c3","padj_norm_vs_c1","padj_norm_vs_c2","padj_norm_vs_c3"
"cg00953355",-2.82510958668337,-0.34517754656392,-1.88834985369985,-2.20849423994962,2.26262342195582e-11,4.19223337488894e-07,0.00302000413837222,8.29628588050468e-11,9.22291342475567e-07,0.00369111616912161
"cg02540440",2.02143335046429,1.87844647037172,3.54699649162829,0.599236999964125,0.23179570194042,0,3.34096411536144e-07,0.23179570194042,0,7.35012105379518e-07
"cg06527318",0.174640308727924,-0.161152688173513,-0.0622634152628248,-0.78092464822869,0.195387783449327,0.00840845132712109,9.2146901129575e-05,0.21492656179426,0.0102769960664813,0.000126701989053166
"cg09444327",-3.5386935168533,-1.31301628619363,-3.29599159315757,-3.31380383723234,2.94219483631952e-06,7.83405786242142e-07,2.9363220509282e-05,4.62344902850211e-06,1.43624394144393e-06,4.61422036574431e-05
"cg09676669",-0.740569837502818,-0.182916929693984,-2.02877361837371,-1.59126157365827,4.96822526896423e-07,0,2.43371989228081e-12,9.10841299310109e-07,0,2.67709188150889e-11
"cg12992385",-3.51329893745286,-2.03534424247802,-3.58674160652723,-3.63352544424296,1.08589454872465e-07,7.34587138817577e-06,1.75327107849732e-05,2.38896800719424e-07,1.15435121814191e-05,3.21433031057842e-05
"cg17862275",3.04261849372338,2.62636067434159,2.97664183779219,2.99979413861151,0.0164489776020905,0.128762488528759,0.243741922342976,0.0226173442028745,0.128762488528759,0.243741922342976
"cg21016188",-2.7750339441298,-1.52913153497521,-3.90901078007725,-0.360940373293602,0.0314574139799593,0.00400600728818679,9.33665367242043e-11,0.0384479504199502,0.00550826002125683,5.13515951983123e-10
"cg21879102",-0.456627988826289,1.61717551563252,-0.528108552903923,-0.865984610998121,2.26262342195582e-11,3.35501346926392e-07,1.5185011692509e-08,8.29628588050468e-11,9.22291342475567e-07,5.56783762058662e-08
"cg21885046",-4.16702274607215,-2.15373585142331,-3.98882643118894,-4.1177655182358,4.7861585583675e-08,0.0485431452261258,0.0552480335764377,1.31619360355106e-07,0.0533974597487384,0.0607728369340815
"cg23331981",-0.11030657517441,2.87153952884627,-0.70765625779697,-0.531422635740031,6.99440505513849e-15,4.77962336375981e-10,1.32784399586861e-07,7.69384556065233e-14,1.75252856671193e-09,3.65157098863866e-07
