"","probes"
"1","cg00376022"
"2","cg00575003"
"3","cg01514015"
"4","cg02299497"
"5","cg04999999"
"6","cg05120309"
"7","cg06261630"
"8","cg06461708"
"9","cg08568720"
"10","cg08991927"
"11","cg09414045"
"12","cg09550127"
"13","cg09555153"
"14","cg09777525"
"15","cg13813623"
"16","cg15165694"
"17","cg16850518"
"18","cg16881064"
"19","cg18075691"
"20","cg18245160"
"21","cg18315960"
"22","cg20585869"
"23","cg20686446"
"24","cg20887442"
"25","cg21972063"
"26","cg22851252"
"27","cg23170495"
"28","cg23419606"
"29","cg23626762"
"30","cg24655262"
"31","cg26000619"
"32","cg26481727"
"33","cg27474516"
