"","master_list","e0"
"1","cg19380499",0
"2","cg07269003",0
"3","cg14477263",0
"4","cg12527909",0
"5","cg20640374",0
"6","cg05826626",0
"7","cg05607246",0
"8","cg00905354",0
"9","cg13480619",0
"10","cg18954051",0
"11","cg17155907",0
"12","cg21949518",0
"13","cg12926934",0
"14","cg03988527",0
"15","cg09898060",0
"16","cg25295726",0
"17","cg13386351",0
"18","cg20370909",1
"19","cg00101453",0
"20","cg25975712",0
"21","cg23175583",0
"22","cg13792460",0
"23","cg06892815",1
"24","cg26993213",0
"25","cg06287395",0
"26","cg18509826",0
"27","cg12678686",0
"28","cg03599988",0
"29","cg07825681",0
"30","cg06633637",0
"31","cg07700962",0
"32","cg15837119",0
"33","cg13819586",0
"34","cg19878597",0
"35","cg15891644",0
"36","cg14009729",0
"37","cg14963534",0
"38","cg25474507",0
"39","cg04568117",0
"40","cg21725888",0
"41","cg10584587",0
"42","cg11334838",0
"43","cg01579535",0
"44","cg20737382",0
"45","cg18446690",0
"46","cg21798447",0
"47","cg12986659",0
"48","cg03115072",0
"49","cg20073320",0
"50","cg05272960",0
"51","cg12950753",0
"52","cg19394857",0
"53","cg02310027",1
"54","cg15760709",0
"55","cg22272277",0
"56","cg14430886",0
"57","cg25430849",0
"58","cg09167117",0
"59","cg25935985",0
"60","cg23654112",0
"61","cg02544836",1
"62","cg02238504",1
"63","cg00729269",0
"64","cg16449402",0
"65","cg12259903",1
"66","cg07905673",0
"67","cg09524078",0
"68","cg22170177",0
"69","cg13512830",0
"70","cg24848349",0
"71","cg08889347",0
"72","cg15526941",0
"73","cg07173112",0
"74","cg14008571",1
"75","cg20800117",0
"76","cg17944110",0
"77","cg00660701",0
"78","cg13447099",0
"79","cg03112782",0
"80","cg09110148",0
"81","cg13401071",0
"82","cg17095731",0
"83","cg05938177",0
"84","cg16275967",0
"85","cg06882058",0
"86","cg10952063",0
"87","cg22273804",0
"88","cg20902975",0
"89","cg00936146",1
"90","cg14260002",0
"91","cg01226742",0
"92","cg21917084",0
"93","cg07713896",1
"94","cg25304860",0
"95","cg13237033",0
"96","cg02202483",0
"97","cg20827077",1
"98","cg18587504",0
"99","cg25443943",0
"100","cg08703718",0
"101","cg24678767",0
"102","cg15901804",0
"103","cg18313083",0
"104","cg19224278",0
"105","cg13040392",0
"106","cg10755961",0
"107","cg17966071",0
"108","cg22745471",0
"109","cg10918735",0
"110","cg19744952",0
"111","cg09556823",1
"112","cg07399395",0
"113","cg20210151",0
"114","cg22450733",0
"115","cg18718647",0
"116","cg24964350",0
"117","cg16682276",0
"118","cg09817427",0
"119","cg00693769",0
"120","cg23054032",0
"121","cg13466809",0
